[ειπεν,G3004,V-2AAI-3S,verb second aorist active indicative third person singular,ask
יתנשא,H5375,HVti3ms,Verb hithpael imperfect third person masculine singular,they took
יתע,H8582,HVhw3ms,Verb hiphil sequential imperfect third person masculine singular,wander
יתעב,H8581,HVhw3ms,Verb hiphil sequential imperfect third person masculine singular,make abhorrent
יתעב,H8581,HVpi3ms,Verb piel imperfect third person masculine singular,make abhorrent
יתעב,H8581,HVpw3ms,Verb piel sequential imperfect third person masculine singular,make abhorrent
יתעבד,H5648,AVui3ms,Verb hithpeel imperfect third person masculine singular,cut
יתעבו,H8581,HVpi3mp,Verb piel imperfect third person masculine plural,make abhorrent
יתעבר,H5674,HVtw3ms,Verb hithpael sequential imperfect third person masculine singular,pass self
יתעדנו,H5727,HVtw3mp,Verb hithpael sequential imperfect third person masculine plural,delight self
יתעו,H8582,HVqi3mp,Verb qal imperfect third person masculine plural,wander
יתעו,H8582,HVhw3mp,Verb hiphil sequential imperfect third person masculine plural,wander
יתעופף,H5774,HVri3ms,Verb hithpolel imperfect third person masculine singular,fly
יתעל,H5927,HVtj3ms,Verb hithpael jussive third person masculine singular,go up
יתעללו,H5953,HVtw3mp,Verb hithpael sequential imperfect third person masculine plural,occupy
יתעלם,H5956,HVti3ms,Verb hithpael imperfect third person masculine singular,make shut
יתעלף,H5968,HVtw3ms,Verb hithpael sequential imperfect third person masculine singular,be wrapped
יתענג,H6026,HVti3ms,Verb hithpael imperfect third person masculine singular,being luxuriated
יתענו,H6031,HVti3mp,Verb hithpael imperfect third person masculine plural,make humble
יתעצב,H6087,HVtw3ms,Verb hithpael sequential imperfect third person masculine singular,make grieved
יתעצבו,H6087,HVtw3mp,Verb hithpael sequential imperfect third person masculine plural,make grieved
יתערב,H6148,HVti3ms,Verb hithpael imperfect third person masculine singular,exchange
יתערבו,H6148,HVtw3mp,Verb hithpael sequential imperfect third person masculine plural,exchange
יתערר,H5782,HVri3ms,Verb hithpolel imperfect third person masculine singular,be roused
יתעשת,H6245,HVti3ms,Verb hithpael imperfect third person masculine singular,shine
יתפאר,H6286,HVti3ms,Verb hithpael imperfect third person masculine singular,ornament
יתפלל,H6419,HVti3ms,Verb hithpael imperfect third person masculine singular,examine
יתפלל,H6419,HVtw3ms,Verb hithpael sequential imperfect third person masculine singular,examine
יתפלל,H6419,HVtj3ms,Verb hithpael jussive third person masculine singular,examine
יתפללו,H6419,HVti3mp,Verb hithpael imperfect third person masculine plural,examine
יתפלצו,H6426,HVti3mp,Verb hithpael imperfect third person masculine plural,tremble
יתפלשו,H6428,HVti3mp,Verb hithpael imperfect third person masculine plural,roll (wallow) self
יתפצצו,H6327,HVrw3mp,Verb hithpolel sequential imperfect third person masculine plural,be scattered
יתפקד,H6485,HVtw3ms,Verb hithpael sequential imperfect third person masculine singular,visit
יתפקדו,H6485,HVtw3mp,Verb hithpael sequential imperfect third person masculine plural,visit
יתפרדו,H6504,HVti3mp,Verb hithpael imperfect third person masculine plural,make divided
יתפרו,H8609,HVqw3mp,Verb qal sequential imperfect third person masculine plural,sew
יתפרקו,H6561,HVtw3mp,Verb hithpael sequential imperfect third person masculine plural,break away
יתפש,H8610,HVqw3ms,Verb qal sequential imperfect third person masculine singular,handle
יתפש,H8610,HVqi3ms,Verb qal imperfect third person masculine singular,handle
יתפשו,H8610,HVqw3mp,Verb qal sequential imperfect third person masculine plural,handle
יתפשו,H8610,HVNi3mp,Verb niphal imperfect third person masculine plural,handle
יתפשט,H6584,HVtw3ms,Verb hithpael sequential imperfect third person masculine singular,make stripped
יתץ,H5422,HVHi3ms,Verb hophal imperfect third person masculine singular,be made demolished
יתץ,H5422,HVqw3ms,Verb qal sequential imperfect third person masculine singular,be made demolished
יתץ,H5422,HVqi3ms,Verb qal imperfect third person masculine singular,be made demolished
יתצ,H5422,HVqw3mp,Verb qal sequential imperfect third person masculine plural,be made demolished
יתצ,H5422,HVqi3ms,Verb qal imperfect third person masculine singular,be made demolished
יתצו,H5422,HVqw3mp,Verb qal sequential imperfect third person masculine plural,be made demolished
יתצו,H5422,HVqi3mp,Verb qal imperfect third person masculine plural,be made demolished
יתקבצו,H6908,HVtw3mp,Verb hithpael sequential imperfect third person masculine plural,gather
יתקבצו,H6908,HVti3mp,Verb hithpael imperfect third person masculine plural,gather
יתקדשו,H6942,HVti3mp,Verb hithpael imperfect third person masculine plural,be holy
יתקדשו,H6942,HVtw3mp,Verb hithpael sequential imperfect third person masculine plural,be holy
יתקלס,H7046,HVti3ms,Verb hithpael imperfect third person masculine singular,mock
יתקלסו,H7046,HVtw3mp,Verb hithpael sequential imperfect third person masculine plural,mock
יתקלסו,H7046,HVti3mp,Verb hithpael imperfect third person masculine plural,mock
יתקע,H8628,HVqw3ms,Verb qal sequential imperfect third person masculine singular,blow
יתקע,H8628,HVNi3ms,Verb niphal imperfect third person masculine singular,blow
יתקע,H8628,HVqi3ms,Verb qal imperfect third person masculine singular,blow
יתקעו,H8628,HVqi3mp,Verb qal imperfect third person masculine plural,blow
יתקעו,H8628,HVqw3mp,Verb qal sequential imperfect third person masculine plural,blow
יתקפ,H8630,HVqi3ms,Verb qal imperfect third person masculine singular,prevail (against)
יתקרי,H7123,AVui3ms,Verb hithpeel imperfect third person masculine singular,call
יתקשר,H7194,HVtw3ms,Verb hithpael sequential imperfect third person masculine singular,be fastened
יתר,H3148,HNcmsa,Noun common masculine singular absolute,more
יתר,H3492,HNp,Noun proper name,Jattir
יתר,H3499,HNcmsc,Noun common masculine singular construct,string
יתר,H3499,HNcmsa,Noun common masculine singular absolute,string
יתר,H3500,HNp,Noun proper name,Jether
יתר,H5425,HVhw3ms,Verb hiphil sequential imperfect third person masculine singular,jump
יתר,H5425,HVhj3ms,Verb hiphil jussive third person masculine singular,jump
יתר,H5425,HVqi3ms,Verb qal imperfect third person masculine singular,jump
יתר,H8446,HVhi3ms,Verb hiphil imperfect third person masculine singular,explore
יתרא,H3501,HNp,Noun proper name,Ithra
יתראו,H7200,HVtw3mp,Verb hithpael sequential imperfect third person masculine plural,seer
יתרה,H3502,HNcfsa,Noun common feminine singular absolute,surplus
יתרו,H3503,HNp,Noun proper name,Jethro Compare H3500 (יֶתֶר)
יתרו,H8446,HVqi3mp,Verb qal imperfect third person masculine plural,explore
יתרו,H8446,HVqw3mp,Verb qal sequential imperfect third person masculine plural,explore
יתרומם,H7311,HVri3ms,Verb hithpolel imperfect third person masculine singular,putrefy
יתרון,H3504,HNcmsa,Noun common masculine singular absolute,surplus
יתרון,H3504,HNcmsc,Noun common masculine singular construct,surplus
יתרועעו,H7321,HVri3mp,Verb hithpolel imperfect third person masculine plural,be screamed
יתרי,H3505,HNgmsa,Noun gentilic masculine singular absolute,Ithrite
יתרים,H3499,HNcmpa,Noun common masculine plural absolute,string
יתרמא,H7412,AVui3ms,Verb hithpeel imperfect third person masculine singular,cast (down)
יתרן,H3506,HNp,Noun proper name,Ithran
יתרעם,H3507,HNp,Noun proper name,Ithream
יתרצה,H7521,HVti3ms,Verb hithpael imperfect third person masculine singular,make accepted
יתרצצו,H7533,HVrw3mp,Verb hithpolel sequential imperfect third person masculine plural,make crushed
יתרת,H3502,HNcfsc,Noun common feminine singular construct,surplus
יתרת,H3508,HNcfsa,Noun common feminine singular absolute,leftover
יתרת,H3508,HNcfsc,Noun common feminine singular construct,leftover
יתש,H5428,HVqw3ms,Verb qal sequential imperfect third person masculine singular,be made uprooted
יתשם,H7761,AVui3ms,Verb hithpeel imperfect third person masculine singular,[phrase] command
יתשמון,H7761,AVui3mp,Verb hithpeel imperfect third person masculine plural,[phrase] command
יתת,H3509,HNp,Noun proper name,Jetheth k
ך,H3772,HSp2ms,Suffix pronominal second person masculine singular,make cut off
ך,H5545,HSp2fs,Suffix pronominal second person feminine singular,pardon
כ,Hk,HR,Preposition,like
כ,Hk,HRd,Preposition Unknown part of speech in Rd,like
כ,Hk,AC,Conjunction,like
כ,Hk,AR,Preposition,like
ך,,HSp2ms,Suffix pronominal second person masculine singular,
ך,,HSp2fs,Suffix pronominal second person feminine singular,
ך,,HSp3fs,Suffix pronominal third person feminine singular,
ך,,HSp2mp,Suffix pronominal second person masculine plural,
ך,,HPp2ms,Pronoun personal second person masculine singular,
ך,,HSp2cs,Suffix pronominal second person common singular,
ך,,ASp2ms,Suffix pronominal second person masculine singular,
ך,,ATo,Particle direct object marker,
כאב,H3511,HNcmsa,Noun common masculine singular absolute,marring
כאב,H3511,HNcmsc,Noun common masculine singular construct,marring
כאבים,H3510,HVqrmpa,Verb qal participle active masculine plural absolute,be marred
כבד,H3513,HAamsa,Adjective adjective masculine singular absolute,be weighty
כבד,H3513,HVpa,Verb piel infinitive absolute,be weighty
כבד,H3513,HVpc,Verb piel infinitive construct,be weighty
כבד,H3513,HVpv2ms,Verb piel imperative second person masculine singular,be weighty
כבד,H3513,HVqq3ms,Verb qal sequential perfect third person masculine singular,be weighty
כבד,H3514,HNcmsc,Noun common masculine singular construct,weight
כבד,H3514,HNcmsa,Noun common masculine singular absolute,weight
כבד,H3515,HAamsa,Adjective adjective masculine singular absolute,weighty
כבד,H3515,HAamsc,Adjective adjective masculine singular construct,weighty
כבד,H3516,HNcfsa,Noun common feminine singular absolute,liver
כבד,H3516,HNcfsc,Noun common feminine singular construct,liver
כבד,H3519,HNcbsa,Noun common both singular absolute,weightiness
כבד,H3519,HNcbsc,Noun common both singular construct,weightiness
כבדה,H3513,HVqp3fs,Verb qal perfect third person feminine singular,be weighty
כבדו,H3513,HVqp3cp,Verb qal perfect third person common plural,be weighty
כבדו,H3513,HVpp3cp,Verb piel perfect third person common plural,be weighty
כבדו,H3513,HVpv2mp,Verb piel imperative second person masculine plural,be weighty
כבדי,H3515,HAampc,Adjective adjective masculine plural construct,weighty
כבדים,H3515,HAampa,Adjective adjective masculine plural absolute,weighty
כבדנו,H3513,HVpp1cp,Verb piel perfect first person common plural,be weighty
כבדת,H3513,HVpp2ms,Verb piel perfect second person masculine singular,be weighty
כבדת,H3513,HVpq2ms,Verb piel sequential perfect second person masculine singular,be weighty
כבדת,H3517,HNcfsa,Noun common feminine singular absolute,weight
כבו,H3518,HVpq3cp,Verb piel sequential perfect third person common plural,be quenched
כבו,H3518,HVqp3cp,Verb qal perfect third person common plural,be quenched
כבוד,H350,HNp,Noun proper name,I-chabod
כבוד,H3519,HNcbsc,Noun common both singular construct,weightiness
כבוד,H3519,HNcbsa,Noun common both singular absolute,weightiness
כבודה,H3520,HNcfsa,Noun common feminine singular absolute,weightiness
כבול,H3521,HNp,Noun proper name,Cabul
כבון,H3522,HNp,Noun proper name,Cabbon
כבוש,H3533,HVqc,Verb qal infinitive construct,subjugate
כבות,H3518,HVpc,Verb piel infinitive construct,be quenched
כביר,H3523,HNcmsc,Noun common masculine singular construct,pillow
כביר,H3524,HAamsa,Adjective adjective masculine singular absolute,[phrase] feeble
כבירים,H3524,HAampa,Adjective adjective masculine plural absolute,[phrase] feeble
כבל,H3525,HNcmsa,Noun common masculine singular absolute,fetter
כבלי,H3525,HNcmpc,Noun common masculine plural construct,fetter
כבס,H3526,HVpp3ms,Verb piel perfect third person masculine singular,be made clean
כבס,H3526,HVpq3ms,Verb piel sequential perfect third person masculine singular,be made clean
כבס,H3526,HVPq3ms,Verb pual sequential perfect third person masculine singular,be made clean
כבס,H3526,HVpv2ms,Verb piel imperative second person masculine singular,be made clean
כבסו,H3526,HVpq3cp,Verb piel sequential perfect third person common plural,be made clean
כבסי,H3526,HVpv2fs,Verb piel imperative second person feminine singular,be made clean
כבסתם,H3526,HVpq2mp,Verb piel sequential perfect second person masculine plural,be made clean
כבר,H3528,HD,Adverb,already
כבר,H3529,HNp,Noun proper name,Chebar Compare H2249 (חָבוֹר)
כברה,H3531,HNcfsa,Noun common feminine singular absolute,meshing
כברת,H3530,HNcfsc,Noun common feminine singular construct,kibrah
כבש,H3532,HNcmsa,Noun common masculine singular absolute,lamb
כבש,H3532,HNcmsc,Noun common masculine singular construct,lamb
כבש,H3532,HNcmpc,Noun common masculine plural construct,lamb
כבש,H3533,HVqv2mp,Verb qal imperative second person masculine plural,subjugate
כבש,H3533,HVpp3ms,Verb piel perfect third person masculine singular,subjugate
כבש,H3533,HVqc,Verb qal infinitive construct,subjugate
כבש,H3534,HNcmsa,Noun common masculine singular absolute,
כבשה,H3535,HNcfsa,Noun common feminine singular absolute,ewe lamb
כבשו,H3533,HVqp3cp,Verb qal perfect third person common plural,subjugate
כבשים,H3532,HNcmpa,Noun common masculine plural absolute,lamb
כבשים,H3533,HVqrmpa,Verb qal participle active masculine plural absolute,subjugate
כבשם,H3532,HNcmpa,Noun common masculine plural absolute,lamb
כבשן,H3536,HNcmsa,Noun common masculine singular absolute,furnace
כבשת,H3535,HNcfpc,Noun common feminine plural construct,ewe lamb
כבשת,H3535,HNcfpa,Noun common feminine plural absolute,ewe lamb
כבשת,H3535,HNcfsc,Noun common feminine singular construct,ewe lamb
כד,H3537,HNcfsc,Noun common feminine singular construct,pitcher
כד,H3537,HNcfsa,Noun common feminine singular absolute,pitcher
כדבה,H3538,AAafsa,Adjective adjective feminine singular absolute,lying
כדור,H1754,HNcmsa,Noun common masculine singular absolute,circling
כדים,H3537,HNcfpa,Noun common feminine plural absolute,pitcher
כדכד,H3539,HNcmsa,Noun common masculine singular absolute,agate
כדרלעמר,H3540,HNp,Noun proper name,Chedorlaomer
כה,H3541,HD,Adverb,thus
כה,H3542,AD,Adverb,hitherto
כה,,HSp2ms,Suffix pronominal second person masculine singular,
כה,,HSp2fs,Suffix pronominal second person feminine singular,
כהה,H3543,HVpp3ms,Verb piel perfect third person masculine singular,be dull
כהה,H3543,HVqa,Verb qal infinitive absolute,be dull
כהה,H3544,HVpp3ms,Verb piel perfect third person masculine singular,dull
כהה,H3544,HAafsa,Adjective adjective feminine singular absolute,dull
כהה,H3545,HNcfsa,Noun common feminine singular absolute,dulling
כהות,H3544,HAafpa,Adjective adjective feminine plural absolute,dull
כהל,H3546,AVqrmsa,Verb peal participle active masculine singular absolute,be able
כהלין,H3546,AVqrmpa,Verb peal participle active masculine plural absolute,be able
כהן,H3547,HVpc,Verb piel infinitive construct,priest
כהן,H3547,HVpq3ms,Verb piel sequential perfect third person masculine singular,priest
כהן,H3547,HVpp3ms,Verb piel perfect third person masculine singular,priest
כהנ,H3547,HVpc,Verb piel infinitive construct,priest
כהן,H3548,HNcmsa,Noun common masculine singular absolute,priest
כהן,H3548,HNcmsc,Noun common masculine singular construct,priest
כהנ,H3548,HNcmpc,Noun common masculine plural construct,priest
כהנ,H3549,ANcmsd,Noun common masculine singular determined,priest
כהנה,H3550,HNcfsa,Noun common feminine singular absolute,priesthood
כהנו,H3547,HVpq3cp,Verb piel sequential perfect third person common plural,priest
כהנו,H3549,ANcmpc,Noun common masculine plural construct,priest
כהנות,H3550,HNcfpa,Noun common feminine plural absolute,priesthood
כהני,H3548,HNcmpc,Noun common masculine plural construct,priest
כהני,H3549,ANcmpd,Noun common masculine plural determined,priest
כהנים,H3548,HNcmpa,Noun common masculine plural absolute,priest
כהנת,H3550,HNcfsc,Noun common feminine singular construct,priesthood
כהתה,H3543,HVqp3fs,Verb qal perfect third person feminine singular,be dull
כהתה,H3543,HVpq3fs,Verb piel sequential perfect third person feminine singular,be dull
כואב,H3510,HVqrmsa,Verb qal participle active masculine singular absolute,be marred
כוב,H3552,HNp,Noun proper name,Chub
כובס,H3526,HVqrmsa,Verb qal participle active masculine singular absolute,be made clean
כובע,H3553,HNcmsc,Noun common masculine singular construct,helmet Compare H6959 (קוֹבַע)
כובע,H3553,HNcmsa,Noun common masculine singular absolute,helmet Compare H6959 (קוֹבַע)
כובעים,H3553,HNcmpa,Noun common masculine plural absolute,helmet Compare H6959 (קוֹבַע)
כוח,H3581,HNcmsc,Noun common masculine singular construct,koach
כויה,H3555,HNcfsa,Noun common feminine singular absolute,blistering
כוין,H3551,ANcfpa,Noun common feminine plural absolute,window
כוכב,H3556,HNcmsa,Noun common masculine singular absolute,star
כוכב,H3556,HNcmsc,Noun common masculine singular construct,star
כוכבי,H3556,HNcmpc,Noun common masculine plural construct,star
כוכבים,H3556,HNcmpa,Noun common masculine plural absolute,star
כול,H3605,HNcmsc,Noun common masculine singular construct,all
כומז,H3558,HNcmsa,Noun common masculine singular absolute,bead
כון,H3560,HNp,Noun proper name,Chun
כון,,ASp2mp,Suffix pronominal second person masculine plural,
כונים,H3561,HNcmpa,Noun common masculine plural absolute,readies
כונן,H3559,HVov2ms,Verb polel imperative second person masculine singular,make ready
כונן,H3559,HVop3ms,Verb polel perfect third person masculine singular,make ready
כונן,H3559,HVoq3ms,Verb polel sequential perfect third person masculine singular,make ready
כוננ,H3559,HVov2ms,Verb polel imperative second person masculine singular,make ready
כוננ,H3559,HVop3ms,Verb polel perfect third person masculine singular,make ready
כוננו,H3559,HVop3cp,Verb polel perfect third person common plural,make ready
כוננו,H3559,HVOp3cp,Verb polal perfect third person common plural,make ready
כונניהו,H3562,HNp,Noun proper name,Conaniah
כוננת,H3559,HVop2ms,Verb polel perfect second person masculine singular,make ready
כוננתה,H3559,HVop2ms,Verb polel perfect second person masculine singular,make ready
כוס,H3563,HNcfsc,Noun common feminine singular construct,kos
כוס,H3563,HNcfsa,Noun common feminine singular absolute,kos
כוס,H3563,HNcmsa,Noun common masculine singular absolute,kos
כוס,H3563,HNcmsc,Noun common masculine singular construct,kos
כור,H3564,HNcmsc,Noun common masculine singular construct,furnace
כור,H3564,HNcmsa,Noun common masculine singular absolute,furnace
כורש,H3566,HNp,Noun proper name,Cyrus
כורש,H3567,ANp,Noun proper name,Cyrus
כוש,H3568,HNp,Noun proper name,Chush
כושי,H3569,HNgmsa,Noun gentilic masculine singular absolute,Cushi
כושי,H3570,HNp,Noun proper name,Cushi
כושים,H3569,HNgmpa,Noun gentilic masculine plural absolute,Cushi
כושל,H3782,HVqrmsa,Verb qal participle active masculine singular absolute,stumble
כושן,H3572,HNp,Noun proper name,Cushan
כושן,H3573,HNp,Noun proper name,Chushan-rishathayim
כושרות,H3574,HNcfpa,Noun common feminine plural absolute,chain
כות,H3575,HNp,Noun proper name,Cuth
כותרת,H3805,HNcfsa,Noun common feminine singular absolute,chapiter
כזב,H3576,HVqrmsa,Verb qal participle active masculine singular absolute,liar
כזב,H3576,HVpc,Verb piel infinitive construct,liar
כזב,H3576,HVpp3ms,Verb piel perfect third person masculine singular,liar
כזב,H3577,HNcmsa,Noun common masculine singular absolute,lie
כזבא,H3578,HNp,Noun proper name,Choseba
כזבי,H3577,HNcmpc,Noun common masculine plural construct,lie
כזבי,H3579,HNp,Noun proper name,Cozbi
כזבים,H3576,HNcmpa,Noun common masculine plural absolute,liar
כזבים,H3577,HNcmpa,Noun common masculine plural absolute,lie
כזיב,H3580,HNp,Noun proper name,Chezib
כח,H3581,HNcmsc,Noun common masculine singular construct,koach
כח,H3581,HNcmsa,Noun common masculine singular absolute,koach
כחד,H3582,HVpp3ms,Verb piel perfect third person masculine singular,make expunged
כחדו,H3582,HVpp3cp,Verb piel perfect third person common plural,make expunged
כחדתי,H3582,HVpp1cs,Verb piel perfect first person common singular,make expunged
כחלת,H3583,HVqp2fs,Verb qal perfect second person feminine singular,paint
כחש,H3584,HVpq3ms,Verb piel sequential perfect third person masculine singular,dissemble
כחש,H3584,HVpp3ms,Verb piel perfect third person masculine singular,dissemble
כחש,H3584,HVqp3ms,Verb qal perfect third person masculine singular,dissemble
כחש,H3584,HVpa,Verb piel infinitive absolute,dissemble
כחש,H3584,HVpc,Verb piel infinitive construct,dissemble
כחש,H3585,HNcmsc,Noun common masculine singular construct,dissembling
כחש,H3585,HNcmsa,Noun common masculine singular absolute,dissembling
כחשו,H3584,HVpp3cp,Verb piel perfect third person common plural,dissemble
כחשי,H3585,HNcmpc,Noun common masculine plural construct,dissembling
כחשים,H3586,HAampa,Adjective adjective masculine plural absolute,dissembling
כחשתי,H3584,HVpp1cs,Verb piel perfect first person common singular,dissemble
כחשתי,H3584,HVpq1cs,Verb piel sequential perfect first person common singular,dissemble
כי,H3587,HC,Conjunction,blistering
כי,H3588,HC,Conjunction,for
כי,H3588,HSp2fs,Suffix pronominal second person feminine singular,for
כי,,HSp2fs,Suffix pronominal second person feminine singular,
כיד,H3589,HNcmsc,Noun common masculine singular construct,destruction
כידודי,H3590,HNcmpc,Noun common masculine plural construct,spark
כידון,H3591,HNcmsa,Noun common masculine singular absolute,lance
כידון,H3591,HNcmsc,Noun common masculine singular construct,lance
כידור,H3593,HNcmsa,Noun common masculine singular absolute,battle
כידן,H3591,HNcmsa,Noun common masculine singular absolute,lance
כידן,H3592,HNp,Noun proper name,Chidon
כיון,H3594,HNp,Noun proper name,Chiun
כיור,H3595,HNcmsa,Noun common masculine singular absolute,laver
כיור,H3595,HNcmsc,Noun common masculine singular construct,laver
כיורים,H3595,HNcmpa,Noun common masculine plural absolute,laver
כילי,H3596,HNcmsa,Noun common masculine singular absolute,deceiver
כילפת,H3597,HNcfpa,Noun common feminine plural absolute,hammer
כימה,H3598,HNcfsa,Noun common feminine singular absolute,Pleiades
כימה,H3598,HNp,Noun proper name,Pleiades
כיס,H3599,HNcmsc,Noun common masculine singular construct,purse
כיס,H3599,HNcmsa,Noun common masculine singular absolute,purse
כיר,H3595,HNcmsa,Noun common masculine singular absolute,laver
כירות,H3595,HNcmpc,Noun common masculine plural construct,laver
כירות,H3595,HNcmpa,Noun common masculine plural absolute,laver
כירים,H3600,HNcmda,Noun common masculine dual absolute,furnaces
כירת,H3595,HNcmpa,Noun common masculine plural absolute,laver
כישור,H3601,HNcmsa,Noun common masculine singular absolute,spindle
ככבי,H3556,HNcmpc,Noun common masculine plural construct,star
ככה,H3602,HD,Adverb,as thus
ככר,H3603,HNcbsc,Noun common both singular construct,region
ככר,H3603,HNcbsa,Noun common both singular absolute,region
ככרות,H3603,HNcbpc,Noun common both plural construct,region
ככרי,H3603,HNcbpc,Noun common both plural construct,region
ככרים,H3603,HNcbda,Noun common both dual absolute,region
ככרים,H3603,HNcbpa,Noun common both plural absolute,region
ככרין,H3604,ANcfpa,Noun common feminine plural absolute,talent
כל,H3557,HVqp3ms,Verb qal perfect third person masculine singular,make sustained
כל,H3605,HNcmsc,Noun common masculine singular construct,all
כל,H3605,HNcmsa,Noun common masculine singular absolute,all
כל,H3605,ANcmsc,Noun common masculine singular construct,all
כל,H3606,ANcmsc,Noun common masculine singular construct,all
כל,H3606,ANcmsd,Noun common masculine singular determined,all
כל,H3606,ANcmsa,Noun common masculine singular absolute,all
כל,H3606,AVqi3fs,Verb peal imperfect third person feminine singular,all
כל,H3615,HVpp3ms,Verb piel perfect third person masculine singular,be finished
כל,H3626,HNp,Noun proper name,Col-hozeh
כל,H3627,HNcmpc,Noun common masculine plural construct,thing
כלא,H3607,HVqv2ms,Verb qal imperative second person masculine singular,withhold
כלא,H3607,HVqsmsa,Verb qal participle passive masculine singular absolute,withhold
כלא,H3607,HVqp3ms,Verb qal perfect third person masculine singular,withhold
כלא,H3607,HVpc,Verb piel infinitive construct,withhold
כלא,H3608,HNcmsa,Noun common masculine singular absolute,withholding
כלא,H3608,HNcmsc,Noun common masculine singular construct,withholding
כלאב,H3609,HNp,Noun proper name,Chileab
כלאה,H3607,HVqp3fs,Verb qal perfect third person feminine singular,withhold
כלאו,H3607,HVqp3cp,Verb qal perfect third person common plural,withhold
כלאים,H3608,HNcmpa,Noun common masculine plural absolute,withholding
כלאים,H3610,HNcmda,Noun common masculine dual absolute,species
כלאתי,H3607,HVqp1cs,Verb qal perfect first person common singular,withhold
כלב,H3611,HNcmsa,Noun common masculine singular absolute,dog
כלב,H3612,HNp,Noun proper name,Caleb
כלב,H3613,HNp,Noun proper name,Caleb-ephrathah
כלבי,H3611,HNcmpc,Noun common masculine plural construct,dog
כלבים,H3611,HNcmpa,Noun common masculine plural absolute,dog
כלה,H3615,HVpp3ms,Verb piel perfect third person masculine singular,be finished
כלה,H3615,HVpq3ms,Verb piel sequential perfect third person masculine singular,be finished
כלה,H3615,HVpa,Verb piel infinitive absolute,be finished
כלה,H3615,HVqp3ms,Verb qal perfect third person masculine singular,be finished
כלה,H3615,HVpc,Verb piel infinitive construct,be finished
כלה,H3615,HVpv2ms,Verb piel imperative second person masculine singular,be finished
כלה,H3615,HVqq3ms,Verb qal sequential perfect third person masculine singular,be finished
כלה,H3615,HNcfsa,Noun common feminine singular absolute,be finished
כלה,H3617,HNcfsa,Noun common feminine singular absolute,altogether
כלה,H3618,HNcfsa,Noun common feminine singular absolute,daughter-in-law
כלהי,H3622,HNp,Noun proper name,Chelluh
כלו,H3607,HVqp3cp,Verb qal perfect third person common plural,withhold
כלו,H3615,HVpp3cp,Verb piel perfect third person common plural,be finished
כלו,H3615,HVpv2mp,Verb piel imperative second person masculine plural,be finished
כלו,H3615,HVqp3cp,Verb qal perfect third person common plural,be finished
כלו,H3615,HVPp3cp,Verb pual perfect third person common plural,be finished
כלוא,H3607,HVqc,Verb qal infinitive construct,withhold
כלוא,H3607,HVqsmsa,Verb qal participle passive masculine singular absolute,withhold
כלוב,H3619,HNcmsa,Noun common masculine singular absolute,basket
כלוב,H3619,HNcmsc,Noun common masculine singular construct,basket
כלוב,H3620,HNp,Noun proper name,Chelub
כלובי,H3621,HNp,Noun proper name,Chelubai
כלולתי,H3623,HNcfpc,Noun common feminine plural construct,
כלות,H3615,HVpc,Verb piel infinitive construct,be finished
כלות,H3615,HVqc,Verb qal infinitive construct,be finished
כלות,H3616,HAafpa,Adjective adjective feminine plural absolute,finished
כלותי,H3618,HNcfpc,Noun common feminine plural construct,daughter-in-law
כלח,H3624,HNcmsa,Noun common masculine singular absolute,full (old) age
כלח,H3625,HNp,Noun proper name,Calah
כלי,H3596,HNcmsa,Noun common masculine singular absolute,deceiver
כלי,H3627,HNcmpc,Noun common masculine plural construct,thing
כלי,H3627,HNcmsc,Noun common masculine singular construct,thing
כלי,H3627,HNcmsa,Noun common masculine singular absolute,thing
כליא,H3628,HNcmsa,Noun common masculine singular absolute,withholding
כליון,H3630,HNp,Noun proper name,Chilion
כליון,H3631,HNcmsc,Noun common masculine singular construct,finishing
כליון,H3631,HNcmsa,Noun common masculine singular absolute,finishing
כליות,H3629,HNcfpa,Noun common feminine plural absolute,kidneys
כליות,H3629,HNcfpc,Noun common feminine plural construct,kidneys
כליותי,H3629,HNcfpc,Noun common feminine plural construct,kidneys
כליל,H3632,HAamsc,Adjective adjective masculine singular construct,all
כליל,H3632,HAamsa,Adjective adjective masculine singular absolute,all
כלילת,H3632,HAafsc,Adjective adjective feminine singular construct,all
כלים,H3627,HNcmpa,Noun common masculine plural absolute,thing
כלינו,H3615,HVqp1cp,Verb qal perfect first person common plural,be finished
כלינו,H3615,HVpp1cp,Verb piel perfect first person common plural,be finished
כלית,H3615,HVpp2ms,Verb piel perfect second person masculine singular,be finished
כלית,H3615,HVpq2ms,Verb piel sequential perfect second person masculine singular,be finished
כלית,H3629,HNcfpa,Noun common feminine plural absolute,kidneys
כלית,H3629,HNcfpc,Noun common feminine plural construct,kidneys
כליתי,H3615,HVpq1cs,Verb piel sequential perfect first person common singular,be finished
כליתי,H3615,HVpp1cs,Verb piel perfect first person common singular,be finished
כליתי,H3615,HVqp1cs,Verb qal perfect first person common singular,be finished
כליתם,H3615,HVpp2mp,Verb piel perfect second person masculine plural,be finished
כליתם,H3615,HVqq2mp,Verb qal sequential perfect second person masculine plural,be finished
כליתם,H3615,HVqp2mp,Verb qal perfect second person masculine plural,be finished
כלכל,H3557,HVlc,Verb pilpel infinitive construct,make sustained
כלכל,H3557,HVlp3ms,Verb pilpel perfect third person masculine singular,make sustained
כלכל,H3557,HVpp3ms,Verb piel perfect third person masculine singular,make sustained
